EFTA01648536,10,mp4,video,1912698,1.82,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648536.pdf,True,yes,0,155.4,352x640,Video (no speech detected); 352x640; 2.6min
EFTA01648537,10,mp4,video,59660912,56.9,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648537.pdf,True,yes,0,127.7,1080x1920,Video (no speech detected); 1080x1920; 2.1min
EFTA01648538,10,mp4,video,1263495,1.2,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648538.pdf,True,yes,80,21.8,400x304,Video with speech (80 words transcribed); 400x304; 22s
EFTA01648539,10,mp4,video,18908228,18.03,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648539.pdf,True,yes,0,96.2,1080x1920,Video (no speech detected); 1080x1920; 1.6min
EFTA01648540,10,mp4,video,22419325,21.38,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648540.pdf,True,yes,67,126.5,1080x1920,Video with speech (67 words transcribed); 1080x1920; 2.1min
EFTA01648541,10,mp4,video,77508654,73.92,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648541.pdf,True,yes,0,519.8,1080x1920,Video (no speech detected); 1080x1920; 8.7min
EFTA01648542,10,mp4,video,598108,0.57,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648542.pdf,False,,,30.9,640x352,Silent surveillance video; 640x352; 31s
EFTA01648543,10,mp4,video,3464076,3.3,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648543.pdf,True,yes,0,244.4,352x640,Video (no speech detected); 352x640; 4.1min
EFTA01648544,10,mp4,video,20947879,19.98,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648544.pdf,True,yes,17,286.6,640x360,Video with speech (17 words transcribed); 640x360; 4.8min
EFTA01648545,10,mp4,video,29081706,27.73,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648545.pdf,True,yes,7,134.7,1080x1920,Video with speech (7 words transcribed); 1080x1920; 2.2min
EFTA01648546,10,mp4,video,1884535,1.8,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648546.pdf,True,yes,1,47.7,640x480,Video with speech (1 words transcribed); 640x480; 48s
EFTA01648547,10,mp4,video,261716,0.25,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648547.pdf,True,yes,0,12.0,352x640,Video (no speech detected); 352x640; 12s
EFTA01648548,10,mp4,video,503716,0.48,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648548.pdf,True,yes,0,17.5,352x640,Video (no speech detected); 352x640; 18s
EFTA01648549,10,mp4,video,5655387,5.39,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648549.pdf,True,yes,0,173.6,352x640,Video (no speech detected); 352x640; 2.9min
EFTA01648550,10,mp4,video,1649148,1.57,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648550.pdf,True,yes,0,90.7,104x192,Video (no speech detected); 104x192; 1.5min
EFTA01648551,10,mp4,video,7629677,7.28,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648551.pdf,True,yes,0,211.0,640x360,Video (no speech detected); 640x360; 3.5min
EFTA01648552,10,mp4,video,36474344,34.78,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648552.pdf,True,yes,0,201.6,1080x1920,Video (no speech detected); 1080x1920; 3.4min
EFTA01648553,10,mp4,video,38893,0.04,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648553.pdf,True,yes,0,6.0,360x416,Video (no speech detected); 360x416; 6s
