efta_number,dataset,extension,category,file_size_bytes,file_size_mb,doj_pdf_link,has_audio,has_transcript,transcript_word_count,duration_seconds,video_resolution,brief_description
EFTA00003212,2,avi,video,1471924,1.4,https://www.justice.gov/epstein/files/DataSet%202/EFTA00003212.pdf,,yes,3,4.3,,Video with speech (3 words transcribed); 4s
EFTA00010707,8,mp4,video,19106311,18.22,https://www.justice.gov/epstein/files/DataSet%208/EFTA00010707.pdf,,yes,0,142.6,,MCC surveillance video (silent); 2.4min
EFTA00013397,8,unknown,unknown,,,https://www.justice.gov/epstein/files/DataSet%208/EFTA00013397.pdf,,,,,,No Images Produced — native file type unknown
EFTA00014716,8,m4a,audio,488648,0.47,https://www.justice.gov/epstein/files/DataSet%208/EFTA00014716.pdf,,yes,44,31.4,,Audio recording (44 words transcribed); 31s
EFTA00015032,8,xlsx,spreadsheet,7878,0.01,https://www.justice.gov/epstein/files/DataSet%208/EFTA00015032.pdf,,,,,,Spreadsheet (XLSX)
EFTA00015920,8,m4a,audio,314229,0.3,https://www.justice.gov/epstein/files/DataSet%208/EFTA00015920.pdf,,yes,82,35.5,,Audio recording (82 words transcribed); 36s
EFTA00016155,8,xlsx,spreadsheet,22608,0.02,https://www.justice.gov/epstein/files/DataSet%208/EFTA00016155.pdf,,,,,,Spreadsheet (XLSX)
EFTA00016338,8,csv,spreadsheet,775503,0.74,https://www.justice.gov/epstein/files/DataSet%208/EFTA00016338.pdf,,,,,,Spreadsheet (CSV)
EFTA00016339,8,csv,spreadsheet,975803,0.93,https://www.justice.gov/epstein/files/DataSet%208/EFTA00016339.pdf,,,,,,Spreadsheet (CSV)
EFTA00016340,8,csv,spreadsheet,708903,0.68,https://www.justice.gov/epstein/files/DataSet%208/EFTA00016340.pdf,,,,,,Spreadsheet (CSV)
EFTA00016341,8,csv,spreadsheet,150578,0.14,https://www.justice.gov/epstein/files/DataSet%208/EFTA00016341.pdf,,,,,,Spreadsheet (CSV)
EFTA00018595,8,xlsx,spreadsheet,14741,0.01,https://www.justice.gov/epstein/files/DataSet%208/EFTA00018595.pdf,,,,,,Spreadsheet (XLSX)
EFTA00019180,8,xls,spreadsheet,15872,0.02,https://www.justice.gov/epstein/files/DataSet%208/EFTA00019180.pdf,,,,,,Spreadsheet (XLS)
EFTA00019181,8,xls,spreadsheet,12288,0.01,https://www.justice.gov/epstein/files/DataSet%208/EFTA00019181.pdf,,,,,,Spreadsheet (XLS)
EFTA00020242,8,xlsx,spreadsheet,21193,0.02,https://www.justice.gov/epstein/files/DataSet%208/EFTA00020242.pdf,,,,,,Spreadsheet (XLSX)
EFTA00021326,8,m4a,audio,431255,0.41,https://www.justice.gov/epstein/files/DataSet%208/EFTA00021326.pdf,,yes,48,28.6,,Audio recording (48 words transcribed); 29s
EFTA00023539,8,xlsx,spreadsheet,8726,0.01,https://www.justice.gov/epstein/files/DataSet%208/EFTA00023539.pdf,,,,,,Spreadsheet (XLSX)
EFTA00024809,8,xlsx,spreadsheet,512641,0.49,https://www.justice.gov/epstein/files/DataSet%208/EFTA00024809.pdf,,,,,,Spreadsheet (XLSX)
EFTA00024813,8,xlsx,spreadsheet,20596,0.02,https://www.justice.gov/epstein/files/DataSet%208/EFTA00024813.pdf,,,,,,Spreadsheet (XLSX)
EFTA00028842,8,mp4,video,764181,0.73,https://www.justice.gov/epstein/files/DataSet%208/EFTA00028842.pdf,,yes,0,12.1,,MCC surveillance video (silent); 12s
EFTA00028983,8,mp3,audio,901137,0.86,https://www.justice.gov/epstein/files/DataSet%208/EFTA00028983.pdf,,yes,162,56.5,,Audio recording (162 words transcribed); 56s
EFTA00029272,8,xlsx,spreadsheet,7533,0.01,https://www.justice.gov/epstein/files/DataSet%208/EFTA00029272.pdf,,,,,,Spreadsheet (XLSX)
EFTA00029480,8,xlsx,spreadsheet,7940,0.01,https://www.justice.gov/epstein/files/DataSet%208/EFTA00029480.pdf,,,,,,Spreadsheet (XLSX)
EFTA00029995,8,mp4,video,5434816,5.18,https://www.justice.gov/epstein/files/DataSet%208/EFTA00029995.pdf,,yes,0,21.2,,MCC surveillance video (silent); 21s
EFTA00029996,8,mp4,video,2298221,2.19,https://www.justice.gov/epstein/files/DataSet%208/EFTA00029996.pdf,,yes,0,8.1,,MCC surveillance video (silent); 8s
EFTA00029997,8,mp4,video,4736383,4.52,https://www.justice.gov/epstein/files/DataSet%208/EFTA00029997.pdf,,yes,0,17.8,,MCC surveillance video (silent); 18s
EFTA00029998,8,mp4,video,5588068,5.33,https://www.justice.gov/epstein/files/DataSet%208/EFTA00029998.pdf,,yes,0,18.9,,MCC surveillance video (silent); 19s
EFTA00032989,8,mp4,video,22821241,21.76,https://www.justice.gov/epstein/files/DataSet%208/EFTA00032989.pdf,,yes,0,3624.5,,MCC surveillance video (silent); 1.0h
EFTA00032990,8,mp4,video,22730923,21.68,https://www.justice.gov/epstein/files/DataSet%208/EFTA00032990.pdf,,yes,0,3624.5,,MCC surveillance video (silent); 1.0h
EFTA00032991,8,mp4,video,22230714,21.2,https://www.justice.gov/epstein/files/DataSet%208/EFTA00032991.pdf,,yes,0,3624.5,,MCC surveillance video (silent); 1.0h
EFTA00033003,8,mp4,video,15450250,14.73,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033003.pdf,,yes,0,3624.5,,MCC surveillance video (silent); 1.0h
EFTA00033004,8,mp4,video,15318377,14.61,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033004.pdf,,yes,0,3624.5,,MCC surveillance video (silent); 1.0h
EFTA00033005,8,mp4,video,15136778,14.44,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033005.pdf,,yes,0,3562.0,,MCC surveillance video (silent); 59.4min
EFTA00033006,8,mp4,video,15749814,15.02,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033006.pdf,,yes,0,3624.5,,MCC surveillance video (silent); 1.0h
